id,name,category,description,address,latitude,longitude,theme_tags,companion_tags,weather_tags,space_type,season_tags,event_name,event_start,event_end,recommended_day,stay_minutes,opening_hours,closed_days,cost_min,cost_max,transport_tags,parking,priority,image_url,official_url,source_url,notes
yeongildae,영일대해수욕장,바다·산책,포항 대표 해변과 야경을 즐기는 산책 코스,경상북도 포항시 북구 두호동,36.0566,129.3787,"힐링|액티비티","혼자|연인|가족|동료","맑음|흐림|야간",실외,사계절,,,,"1|2|3",60,상시,,0,0,"자차|대중교통",공영주차장,1,,,https://pohang.go.kr/phtour/index.do,
jukdo,죽도시장,시장·먹거리,포항 로컬 먹거리를 만날 수 있는 전통시장,경상북도 포항시 북구 죽도동,36.0357,129.3657,"맛집 투어|문화","가족|동료|친구","맑음|흐림|비",실내·실외,사계절,,,,"1|2|3",90,매장별 상이,,5000,50000,"자차|대중교통",시장 주차장,1,,,https://pohang.go.kr/phtour/index.do,
homigot,호미곶,일출·전망,상생의 손과 동해 일출을 감상하는 전망 포인트,경상북도 포항시 남구 호미곶면,36.0769,129.5689,"힐링|액티비티","혼자|연인|가족","맑음|흐림",실외,겨울|사계절,해맞이축제,2026-12-31,2027-01-01,"2|3",60,상시,,0,0,자차,공영주차장,2,,,https://pohang.go.kr/phtour/wmap/tourInformation/index.do?menu_idx=45&representative_views=true,
guryongpo,구룡포 근대문화거리,문화·산책,근대문화 건축과 골목을 둘러보는 산책 코스,경상북도 포항시 남구 구룡포읍,35.9918,129.5532,"문화|힐링","연인|가족|동료","맑음|흐림|비",실내·실외,사계절,과메기축제,2026-11-01,2027-02-28,"2|3",90,상시,,0,10000,"자차|대중교통",공영주차장,2,,,https://pohang.go.kr/phtour/index.do,
spacewalk,포항 스페이스워크,전망·체험,환호공원에서 영일만과 포항 시가지를 내려다보는 체험형 전망 명소,경상북도 포항시 북구 두호동 산8,36.0561,129.3826,"액티비티|힐링|사진","연인|친구|동료|가족","맑음|흐림",실외,사계절,,,,"1|2",60,"하절기 평일 10:00-20:00; 휴일 10:00-21:00",매월 첫째 월요일,0,0,"자차|대중교통",환호공원 주차장,1,,,https://cn.pohang.go.kr/dept/contents.do?mid=0603050000,
marine_skywalk,포항해상스카이워크,전망·산책,바다 위를 걷는 해안 전망 산책로,경상북도 포항시 북구 해안로 518,36.0798,129.4058,"힐링|사진|액티비티","연인|가족|친구","맑음|흐림",실외,사계절,,,,"1|2",60,상시 확인 필요,,0,0,"자차|대중교통",현장 확인,2,,,https://pohang.go.kr/phtour/wmap/tourInformation/index.do?cate_id=93&menu_idx=104,
igari_anchor,이가리 닻 전망대,전망·사진,해안 절벽과 바다를 조망하는 닻 모양 전망대,경상북도 포항시 북구 청하면 이가리 67,36.2500,129.4020,"힐링|사진|드라이브","연인|가족|친구","맑음|흐림",실외,사계절,,,,"2|3",45,상시,,0,0,자차,현장 확인,2,,,https://pohang.go.kr/phtour/index.do,
pohang_canal,포항운하,수변·체험,도심 수로와 포항 바다를 잇는 산책·크루즈 코스,경상북도 포항시 남구 희망대로 1040,36.0250,129.3650,"힐링|액티비티|맛집 투어","연인|가족|동료","맑음|흐림",실외,사계절,,,,"1|2",60,상시 확인 필요,,0,30000,"자차|대중교통",운하 주차장,2,,,https://pohang.go.kr/phtour/index.do,
railway_forest,철길숲·불의 정원,도심·산책,도심 속 철길을 따라 걷는 녹지 산책 공간,경상북도 포항시 남구 대잠동 일대,36.0150,129.3430,"힐링|산책|사진","혼자|연인|가족|동료","맑음|흐림|야간",실외,사계절,,,,"1|2|3",60,상시,,0,0,"도보|자전거|대중교통",주변 주차장,1,,,https://pohang.go.kr/phtour/index.do,
yeonorang,연오랑세오녀 테마공원,문화·전망,설화와 바다 풍경을 함께 즐기는 역사문화 공간,경상북도 포항시 남구 동해면 호미로 3012,35.9970,129.4400,"문화|힐링|사진","가족|연인|동료","맑음|흐림",실내·실외,사계절,,,,"2|3",90,상시 확인 필요,,0,5000,자차,공영주차장,2,,,https://pohang.go.kr/phtour/index.do,
guryongpo_gwamegi,포항 구룡포과메기문화관,문화·먹거리,포항 대표 먹거리 과메기의 문화를 알아보는 전시 공간,경상북도 포항시 남구 구룡포읍 구룡포길 117,35.9930,129.5540,"맛집 투어|문화","가족|동료|친구","비|눈|맑음",실내,겨울|사계절,과메기축제,2026-11-01,2027-02-28,"2|3",60,운영시간 확인 필요,,0,5000,자차,현장 확인,2,,,https://pohang.go.kr/phtour/index.do,
bogyungsa,보경사·내연산,자연·사찰,계곡과 폭포를 품은 내연산 대표 힐링 코스,경상북도 포항시 북구 송라면 보경로 523,36.2760,129.3430,"힐링|문화|산책","혼자|연인|가족|동료","맑음|흐림",실외,봄|여름|가을|사계절,,,,"2|3",150,상시 확인 필요,,0,5000,자차,사찰 주차장,1,,,https://pohang.go.kr/phtour/index.do,
sabang_park,사방기념공원,전망·문화,동해안 풍경과 산림·사방사업 역사를 함께 보는 공원,경상북도 포항시 북구 흥해읍 해안로 1801,36.1610,129.4350,"힐링|문화|사진","연인|가족|동료","맑음|흐림",실외,사계절,,,,"2|3",60,상시,,0,0,자차,현장 확인,3,,,https://pohang.go.kr/phtour/index.do,
songdo_forest,송도솔밭도시숲,도심·산책,해변과 소나무 숲을 함께 즐기는 도심 힐링 장소,경상북도 포항시 남구 송도동 일대,36.0200,129.3700,"힐링|산책|가족","혼자|연인|가족|동료","맑음|흐림|야간",실외,사계절,,,,"1|2|3",60,상시,,0,0,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
oreosa,오어사,사찰·호수,운제산과 오어지를 함께 만나는 산책형 사찰 여행지,경상북도 포항시 남구 오천읍 오어로 1,35.9065,129.3227,"힐링|문화|사진","혼자|연인|가족","맑음|흐림|비",실내·실외,사계절,,,"2|3",90,상시,,0,0,"자차|대중교통",주차 가능,2,,,https://pohang.go.kr/phtour/index.do,
unjesan,운제산,산·전망,숲길과 정상 전망을 즐기는 포항 남부 대표 산행지,경상북도 포항시 남구 대송면,35.8955,129.3370,"힐링|액티비티|사진|드라이브","혼자|연인|가족|친구","맑음|흐림",실외,사계절,,,"2|3",120,상시,,0,0,자차,현장 확인,2,,,https://pohang.go.kr/phtour/index.do,
dogu_beach,도구해수욕장,바다·산책,한적한 백사장과 해안 산책을 즐기는 해변,경상북도 포항시 남구 동해면 도구리,35.9930,129.4430,"힐링|액티비티|사진","혼자|연인|가족|친구","맑음|흐림",실외,여름|사계절,,,"1|2|3",60,상시,,0,0,"자차|대중교통",공영주차장,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0305010000,
songdo_beach,송도해수욕장,해변·산책,도심에서 가까운 해변과 송도솔밭을 함께 즐기는 장소,경상북도 포항시 남구 송도동,36.0200,129.3700,"힐링|액티비티|사진","혼자|연인|가족|친구","맑음|흐림",실외,여름|사계절,,,"1|2|3",60,상시,,0,0,"자차|대중교통",공영주차장,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0305010000,
chilpo_beach,칠포해수욕장,바다·레저,넓은 백사장과 해양 레저를 즐기는 북부 해변,경상북도 포항시 북구 흥해읍 칠포리,36.1400,129.4100,"힐링|액티비티|사진","연인|가족|친구","맑음|흐림",실외,여름|사계절,,,"1|2|3",60,상시,,0,0,"자차|대중교통",공영주차장,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0305010000,
wolpo_beach,월포해수욕장,바다·서핑,서핑과 해수욕을 즐기기 좋은 포항 북부 해변,경상북도 포항시 북구 청하면 월포리,36.1930,129.3820,"액티비티|힐링|사진","연인|가족|친구","맑음|흐림",실외,여름|사계절,,,"2|3",60,상시,,0,0,"자차|대중교통",공영주차장,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0305010000,
hwajin_beach,화진해수욕장,바다·캠핑,송림과 해변을 함께 즐기는 북부 해수욕장,경상북도 포항시 북구 송라면 화진리,36.2670,129.3490,"힐링|액티비티|사진","가족|연인|친구","맑음|흐림",실외,여름|사계절,,,"2|3",60,상시,,0,0,"자차|대중교통",공영주차장,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0305010000,
yonghan_beach,용한리해수욕장,서핑·바다,전국적인 서핑 명소로 알려진 해변,경상북도 포항시 북구 흥해읍 용한리,36.1150,129.4300,"액티비티|힐링|사진","연인|친구|가족","맑음|흐림",실외,여름|사계절,,,"1|2",90,상시,,0,0,자차,현장 확인,2,,,https://pohang.go.kr/phtour/html.do?menu_idx=116,
gondryun,곤륜산 활공장,전망·액티비티,포항 해안선을 내려다보는 인기 전망 포인트,경상북도 포항시 북구 흥해읍 칠포리,36.1670,129.3980,"액티비티|힐링|사진|드라이브","연인|친구|가족","맑음|흐림",실외,사계절,,,"2|3",60,상시,,0,0,자차,현장 확인,2,,,https://pohang.go.kr/phtour/index.do,
robolife,로보라이프뮤지엄,과학·체험,로봇 기술을 체험하고 전시를 관람하는 실내 명소,경상북도 포항시 남구 지곡로 39,36.0220,129.3240,"문화|액티비티|가족","가족|친구|동료","맑음|비|눈",실내,사계절,,,"1|2|3",90,운영시간 확인 필요,,0,10000,"자차|대중교통",주차 가능,2,,,https://pohang.go.kr/phtour/index.do,
pohang_art_museum,포항시립미술관,미술·전시,현대미술 전시와 환호공원 산책을 함께 즐기는 미술관,경상북도 포항시 북구 환호공원길 10,36.0700,129.3990,"문화|힐링","혼자|연인|가족|동료","맑음|비|눈",실내,사계절,,,"1|2|3",90,운영시간 확인 필요,,0,0,"자차|대중교통",공영주차장,2,,,https://pohang.go.kr/phtour/index.do,
lighthouse_museum,국립등대박물관,박물관·바다,등대의 역사와 해양 문화를 살펴보는 박물관,경상북도 포항시 남구 호미곶면 해맞이로 150번길 20,36.0760,129.5680,"문화|힐링|사진","가족|연인|동료","맑음|비|눈",실내·실외,사계절,,,"2|3",90,운영시간 확인 필요,,0,0,자차,주차 가능,2,,,https://pohang.go.kr/phtour/index.do,
guryongpo_history,구룡포근대역사관,역사·전시,구룡포의 근대 생활사를 소개하는 역사 전시 공간,경상북도 포항시 남구 구룡포읍 구룡포길 153,35.9900,129.5580,"문화|사진","혼자|연인|가족","맑음|비|눈",실내,사계절,,,"2|3",60,운영시간 확인 필요,,0,0,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
pohang_canal_museum,포항운하관,전시·수변,포항운하의 역사와 수변 생태를 알아보는 전시관,경상북도 포항시 남구 희망대로 1040,36.0090,129.3650,"문화|힐링","가족|연인|동료","맑음|비|눈",실내,사계절,,,"1|2|3",60,운영시간 확인 필요,,0,0,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
janggiseong,장기읍성,역사·산책,고려와 조선의 역사를 간직한 성곽 산책지,경상북도 포항시 남구 장기면 읍내리,35.8990,129.4910,"문화|힐링|사진","혼자|연인|가족","맑음|흐림",실외,사계절,,,"2|3",90,상시,,0,0,자차,현장 주차,2,,,https://pohang.go.kr/phtour/index.do,
